case_id,charge_seq,charge,occur_dt,ucr_code,ucr_cat,ucr_group,(No column name),case_status,csstatus,bias,vic_lst
1804817,1,DUII,27:00.0,210,SOC,DUII,DUII,CLEARED BY ARREST,A ,NULL,[]
1804824,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",27:00.0,550,ORS,WARRANT,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804833,1,"PROPERTY, FOUND",32:00.0,999,UNA,UNASSIGNED,FOUND PROPERTY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804716,1,DUII,55:00.0,210,SOC,DUII,DISABLED VEHICL,CLEARED BY ARREST,A ,NULL,[]
1804830,1,ASSAULT PUBLIC SAFETY OFFICER - SIMPLE ASLT,08:00.0,43,PER,ASSAULT,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,"[{""age"":""36"",""sex"":""M"",""type"":""L""},{""age"":""28"",""sex"":""M"",""type"":""L""}]"
1804830,2,DISORDERLY CONDUCT 2,08:00.0,240,SOC,DISORDERLY CONDUCT,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1804825,1,VIOL RESTRAINING ORDER,09:00.0,47,PER,ASSAULT,VIOLATION OF RE,CLEARED BY ARREST,A ,NULL,"[{""age"":""25"",""sex"":""F"",""type"":""I""}]"
1804831,1,SUSPICIOUS CONDITIONS,49:00.0,999,UNA,UNASSIGNED,TRASH BIN FIRE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804827,1,INTERFERE W/ POLICE OFFICER - CONDUCT,37:00.0,240,SOC,DISORDERLY CONDUCT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804836,1,BURGLARY 1 - RESIDENCE,00:00.0,51,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""53"",""sex"":""M"",""type"":""I""}]"
1804836,2,CRIMINAL MISCHIEF 2 - RESULT CRIMINAL ACT,00:00.0,141,PRP,VANDALISM,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""53"",""sex"":""M"",""type"":""I""}]"
1804837,1,PROHIBITED CAMPING,48:00.0,269,SOC,ALL OTHER,PATROL CHECK,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1804661,1,DUII,40:00.0,210,SOC,DUII,ACCIDENT VEHICL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804832,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",34:00.0,550,ORS,WARRANT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804164,1,HIT & RUN - VEH DAMAGE,43:00.0,391,ORS,TRAFFIC CRIME,HIT AND RUN,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804841,1,PROHIBITED CAMPING,03:00.0,269,SOC,ALL OTHER,DISORDERLY SUBJ,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804826,1,DUII,52:00.0,210,SOC,DUII,TRAFFIC STOP,CLEARED BY ARREST,A ,NULL,[]
1804839,1,FORGERY 1,30:00.0,100,PRP,FORGERY,FORGERY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804840,1,FORGERY 1,32:00.0,100,PRP,FORGERY,FORGERY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804838,1,POSSESS METHAMPHETAMINE,18:00.0,180,SOC,DRUG LAW VIOLATION,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804838,2,CRIMINAL TRESPASS 2,18:00.0,261,SOC,ALL OTHER,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804848,1,PROHIBITED CAMPING,50:00.0,269,SOC,ALL OTHER,ILLEGAL CAMPING,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804846,1,UUV,30:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""25"",""sex"":""F"",""type"":""I""}]"
1804844,2,CRIMINAL TRESPASS 2,19:00.0,261,SOC,ALL OTHER,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1804844,1,INTERFERE PUBLIC TRANSPORT,19:00.0,240,SOC,DISORDERLY CONDUCT,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1804850,1,THEFT 3 - FROM VEHICLE,00:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""19"",""sex"":""F"",""type"":""I""}]"
1804849,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",08:00.0,550,ORS,WARRANT,DISPUTE,CLEARED BY ARREST,A ,NULL,[]
1804834,1,UNLF ENTRY MOTOR VEHICLE,58:00.0,75,PRP,MV THEFT,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,"[{""age"":""66"",""sex"":""M"",""type"":""I""}]"
1804835,2,DUII,57:00.0,210,SOC,DUII,DISORDERLY SUBJ,CLEARED BY ARREST,A ,NULL,[]
1804851,1,PROHIBITED CAMPING,39:00.0,269,SOC,ALL OTHER,PATROL CHECK,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804842,1,STRANGULATION - MIS APA,07:00.0,41,PER,ASSAULT,ASSAULT,CLEARED BY ARREST,A ,NULL,"[{""age"":""32"",""sex"":""F"",""type"":""I""}]"
1804843,1,SODOMY 1 - FORCIBLE,01:00.0,177,PER,SEX CRIMES,SEX ABUSE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""30"",""sex"":""M"",""type"":""I""}]"
1804852,1,"PROPERTY, FOUND",03:00.0,999,UNA,UNASSIGNED,FOUND PROPERTY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804847,1,CRIMINAL TRESPASS 2,24:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804856,1,THEFT 2 - SHOPLIFT,52:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1804855,1,FORGERY 1,57:00.0,100,PRP,FORGERY,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804857,1,VIOL RESTRAINING ORDER,07:00.0,47,PER,ASSAULT,VIOLATION OF RE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""20"",""sex"":""F"",""type"":""I""}]"
1804853,1,VIOLATION PARK RULES,34:00.0,269,SOC,ALL OTHER,MOTOR VEH ACC U,CLEARED BY ARREST,A ,NULL,[]
1804853,2,DRIVING UNINSURED,34:00.0,999,UNA,UNASSIGNED,MOTOR VEH ACC U,CLEARED BY ARREST,A ,NULL,[]
1804859,1,VIOL RESTRAINING ORDER,58:00.0,47,PER,ASSAULT,BURGLARY,CLEARED BY ARREST,A ,NULL,"[{""age"":""74"",""sex"":""M"",""type"":""I""}]"
1802935,1,DRUG EVALUATION REPORT,19:00.0,999,UNA,UNASSIGNED,REQUEST DRE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804860,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",37:00.0,550,ORS,WARRANT,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,[]
1804860,1,FELON IN POSS OF RESTRICTED WEAPON,37:00.0,153,SOC,WEAPON LAW VIOLATION,SUSPICIOUS SUBJ,CLEARED BY ARREST,A ,NULL,[]
1804863,1,UUV,30:00.0,71,PRP,MV THEFT,,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""48"",""sex"":""M"",""type"":""I""}]"
1804861,1,THEFT 2 - FROM BUILDING,12:00.0,67,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804866,1,FORGERY 1,48:00.0,100,PRP,FORGERY,FORGERY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804867,1,"PROPERTY, FOUND",46:00.0,999,UNA,UNASSIGNED,FOUND PROPERTY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804116,1,SUSPICIOUS CONDITIONS,43:00.0,999,UNA,UNASSIGNED,SUSPICIOUS COND,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804589,1,SUSPICIOUS CONDITIONS,56:00.0,999,UNA,UNASSIGNED,SUSPICIOUS COND,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804872,1,RUNAWAY JUVENILE - OWN AGENCY,30:00.0,290,SOC,RUNAWAY,RUNAWAY JUVENIL,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1804869,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",12:00.0,550,ORS,WARRANT,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804870,1,THEFT 3 - SHOPLIFT,00:00.0,63,PRP,LARCENY,THEFT,CLEARED BY ARREST,A ,NULL,[]
1804361,1,THEFT 2 - FROM VEHICLE,40:00.0,64,PRP,LARCENY,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""38"",""sex"":""M"",""type"":""I""}]"
1804875,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",55:00.0,550,ORS,WARRANT,TRAFFIC STOP,CLEARED BY ARREST,A ,NULL,[]
1804879,1,PROHIBITED CAMPING,46:00.0,269,SOC,ALL OTHER,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804877,1,UUV,00:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804876,2,IDENTITY THEFT,30:00.0,11F,PRP,FRAUD,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""73"",""sex"":""F"",""type"":""I""}]"
1804876,1,THEFT 1 - DECEPTION,30:00.0,115,PRP,FRAUD,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""73"",""sex"":""F"",""type"":""I""}]"
1804887,1,THEFT 1 - FROM BUILDING,00:00.0,67,PRP,LARCENY,BURGLARY,CLEARED BY ARREST,A ,NULL,"[{""age"":""21"",""sex"":""M"",""type"":""I""}]"
1804886,1,THEFT 3 - FROM VEHICLE,00:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""25"",""sex"":""F"",""type"":""I""}]"
1804865,1,CRIMINAL TRESPASS 2,06:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804893,1,PROHIBITED CAMPING,20:00.0,269,SOC,ALL OTHER,PATROL CHECK,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804883,1,CRIMINAL TRESPASS 1,09:00.0,261,SOC,ALL OTHER,ASSIST OUTSIDE,CLEARED BY ARREST,A ,NULL,[]
1804885,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",08:00.0,550,ORS,WARRANT,WARRANT SERVICE,CLEARED BY ARREST,A ,NULL,[]
1804888,1,MISSING PERSON,30:00.0,999,UNA,UNASSIGNED,MISSING PERSON,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,[]
1804880,1,THEFT 2 - DECEPTION,00:00.0,115,PRP,FRAUD,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""43"",""sex"":""F"",""type"":""I""}]"
1804878,1,THEFT 3 - FROM VEHICLE,19:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""42"",""sex"":""F"",""type"":""I""}]"
1804646,1,"PROPERTY, FOUND",52:00.0,999,UNA,UNASSIGNED,MINOR IN POSSES,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1804894,1,THEFT 3 - SHOPLIFT,00:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1804889,1,THEFT 1 - OTHER,45:00.0,69,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""43"",""sex"":""M"",""type"":""I""}]"
1804868,1,DOG AT LARGE,12:00.0,267,SOC,ALL OTHER,DOG AT LARGE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804896,1,DOG AT LARGE,49:00.0,267,SOC,ALL OTHER,FOUND ANIMAL,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804899,1,UNLF DISSEMINATION INTIMATE IMAGE - MISD,00:00.0,170,SOC,SEX CRIMES,HARASSMENT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804892,1,CRIMINAL MISTREATMENT 1,32:00.0,205,PER,FAMILY OFFENSE,VIOLATION OF RE,CLEARED BY ARREST,A ,NULL,"[{""age"":""63"",""sex"":""F"",""type"":""I""}]"
1804874,1,THEFT 1 - FROM BUILDING,10:00.0,67,PRP,LARCENY,THEFT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""45"",""sex"":""F"",""type"":""I""}]"
1804897,1,CRIMINAL MISCHIEF 3 - VANDALISM,00:00.0,140,PRP,VANDALISM,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""23"",""sex"":""M"",""type"":""I""}]"
1804206,1,MIP MARIJUANA,30:00.0,180,SOC,DRUG LAW VIOLATION,MINOR IN POSSES,CLEARED BY ARREST,A ,NULL,[]
1804895,1,FORGERY 1,05:00.0,100,PRP,FORGERY,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804882,1,ASSAULT 4 - SIMPLE ASLT APA,19:00.0,43,PER,ASSAULT,FOLLOW UP,CLEARED BY ARREST,A ,NULL,"[{""age"":""30"",""sex"":""M"",""type"":""I""}]"
1804900,1,POSSESS METHAMPHETAMINE,21:00.0,180,SOC,DRUG LAW VIOLATION,DISPUTE,CLEARED BY ARREST,A ,NULL,[]
1804901,1,SEX ABUSE 3 - SEX CRIME OTHER,00:00.0,179,PER,SEX CRIMES,SEX ABUSE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""08"",""sex"":""M"",""type"":""I""}]"
1804882,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",19:00.0,550,ORS,WARRANT,FOLLOW UP,CLEARED BY ARREST,A ,NULL,[]
1804900,2,RESISTING ARREST - DIS CONDUCT,21:00.0,240,SOC,DISORDERLY CONDUCT,DISPUTE,CLEARED BY ARREST,A ,NULL,[]
1804900,3,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",21:00.0,550,ORS,WARRANT,DISPUTE,CLEARED BY ARREST,A ,NULL,[]
1804902,1,THEFT 3 - SHOPLIFT,53:00.0,63,PRP,LARCENY,THEFT,CLEARED BY ARREST,A ,NULL,[]
1804902,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",53:00.0,550,ORS,WARRANT,THEFT,CLEARED BY ARREST,A ,NULL,[]
1804865,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",06:00.0,550,ORS,WARRANT,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804905,1,THEFT 2 - FROM VEHICLE,00:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""24"",""sex"":""M"",""type"":""I""}]"
1804906,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",51:00.0,550,ORS,WARRANT,TRAFFIC STOP,CLEARED BY ARREST,A ,NULL,[]
1804904,1,BURGLARY 2 - OTHER STRUCTURE,14:00.0,53,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""68"",""sex"":""M"",""type"":""I""}]"
1804908,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",26:00.0,550,ORS,WARRANT,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804910,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",04:00.0,550,ORS,WARRANT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804910,1,POSS/MANUF/DEL CONT`L SUB SC 4,04:00.0,180,SOC,DRUG LAW VIOLATION,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804909,1,CRIMINAL TRESPASS 2,00:00.0,261,SOC,ALL OTHER,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804376,1,ASSIST OUTSIDE AGENCY,36:00.0,999,UNA,UNASSIGNED,SEX ABUSE,INVEST DELAYED / VIC-WIT UNAVAIL,C ,NULL,"[{""age"":""04"",""sex"":""F"",""type"":""I""}]"
1804585,1,SEX ABUSE 1 - PHYSICAL MOLEST,48:00.0,173,PER,SEX CRIMES,SEX ABUSE,OPEN,O ,NULL,"[{""age"":""12"",""sex"":""F"",""type"":""I""}]"
1804729,1,INFORMATION - NON-CRIME,22:00.0,999,UNA,UNASSIGNED,ASSAULT,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""07"",""sex"":""F"",""type"":""I""}]"
1804914,1,UUV,00:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""59"",""sex"":""M"",""type"":""I""}]"
1804918,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",45:00.0,550,ORS,WARRANT,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804921,1,PROHIBITED CAMPING,19:00.0,269,SOC,ALL OTHER,PATROL CHECK,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804923,1,UUV,00:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""55"",""sex"":""M"",""type"":""I""}]"
1804862,1,DUII,18:00.0,210,SOC,DUII,TRAFFIC STOP,CLEARED BY ARREST,A ,NULL,[]
1804871,1,CONS UNLIC PREM/OPEN CON,44:00.0,224,SOC,LIQUOR LAW VIOLATION,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804871,2,CRIMINAL TRESPASS 2,44:00.0,261,SOC,ALL OTHER,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804927,1,"PROPERTY, LOST",00:00.0,999,UNA,UNASSIGNED,LOST PROPERTY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""29"",""sex"":""M"",""type"":""I""}]"
1804922,1,THEFT 2 - FROM VEHICLE,48:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""54"",""sex"":""F"",""type"":""I""}]"
1804926,1,BURGLARY 2 - OTHER STRUCTURE,00:00.0,53,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""32"",""sex"":""F"",""type"":""I""}]"
1804906,1,DWS MIS,51:00.0,395,ORS,TRAFFIC CRIME,TRAFFIC STOP,CLEARED BY ARREST,A ,NULL,[]
1800958,1,SUSPICIOUS VEHICLE(S),40:00.0,999,UNA,UNASSIGNED,SUSPICIOUS COND,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""16"",""sex"":""F"",""type"":""I""}]"
1804917,1,PROHIBITED CAMPING,09:00.0,269,SOC,ALL OTHER,PATROL CHECK,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804930,1,BURGLARY 1 - RESIDENCE,00:00.0,51,PRP,BURGLARY,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""55"",""sex"":""F"",""type"":""I""}]"
1804930,2,CRIMINAL MISCHIEF 2 - RESULT CRIMINAL ACT,00:00.0,141,PRP,VANDALISM,BURGLARY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""55"",""sex"":""F"",""type"":""I""}]"
1804913,1,UUV,48:00.0,71,PRP,MV THEFT,DISPUTE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""32"",""sex"":""M"",""type"":""I""}]"
1804920,1,CRIMINAL MISCHIEF 3 - VANDALISM,00:00.0,140,PRP,VANDALISM,CRIMINAL MISCHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""18"",""sex"":""F"",""type"":""I""}]"
1804935,1,"PROPERTY, FOUND",05:00.0,999,UNA,UNASSIGNED,ASSIST PUBLIC-,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804931,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",18:00.0,550,ORS,WARRANT,LOCATION WANTED,CLEARED BY ARREST,A ,NULL,[]
1804925,1,INTERFERE W/ POLICE OFFICER - CONDUCT,59:00.0,240,SOC,DISORDERLY CONDUCT,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804915,1,THEFT 3 - FROM VEHICLE,30:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""23"",""sex"":""M"",""type"":""I""}]"
1804937,1,THEFT 2 - SHOPLIFT,23:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1804924,1,CRIMINAL TRESPASS 2,24:00.0,261,SOC,ALL OTHER,DISORDERLY JUVE,CLEARED BY ARREST,A ,NULL,[]
1804912,1,DISORDERLY CONDUCT,35:00.0,240,SOC,DISORDERLY CONDUCT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804891,1,MIP MARIJUANA,29:00.0,180,SOC,DRUG LAW VIOLATION,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804936,1,CONS UNLIC PREM/OPEN CON,29:00.0,224,SOC,LIQUOR LAW VIOLATION,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804884,1,ASSAULT,38:00.0,43,PER,ASSAULT,DISPUTE,CLEARED BY ARREST,A ,NULL,"[{""age"":""27"",""sex"":""M"",""type"":""I""}]"
1804898,1,THEFT 1 - DECEPTION,30:00.0,115,PRP,FRAUD,FRAUD,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""49"",""sex"":""F"",""type"":""I""}]"
1804944,2,CRIMINAL TRESPASS 2,38:00.0,261,SOC,ALL OTHER,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804944,1,THEFT 3 - SHOPLIFT,38:00.0,63,PRP,LARCENY,CRIMINAL TRESPA,CLEARED BY ARREST,A ,NULL,[]
1804938,1,DECEASED SUBJECT,39:00.0,999,UNA,UNASSIGNED,CARDIAC ARREST,EXCEPTIONAL (EXC DISP NEEDED),E ,NULL,"[{""age"":""56"",""sex"":""F"",""type"":""I""}]"
1804929,1,THEFT 2 - FROM VEHICLE,27:00.0,64,PRP,LARCENY,THEFT FROM VEHI,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""19"",""sex"":""M"",""type"":""I""}]"
1804845,1,OVERDOSE,41:00.0,999,UNA,UNASSIGNED,CARDIAC ARREST,"OTHER (NON-REPORTABLE, IBR 999)",X ,NULL,[]
1804916,1,UUV,25:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""24"",""sex"":""M"",""type"":""I""}]"
1804928,1,ROBBERY 1 - OTHER,40:00.0,39,PER,ROBBERY,ROBBERY,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""19"",""sex"":""M"",""type"":""I""}]"
1804950,1,UUV,00:00.0,71,PRP,MV THEFT,UNAUTHORIZED US,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""60"",""sex"":""M"",""type"":""I""}]"
1804942,1,CRIMINAL MISCHIEF 1 - VANDALISM,15:00.0,140,PRP,VANDALISM,,CLEARED BY ARREST,A ,NULL,[]
1804940,1,PUBLIC INDECENCY MISD - EXPOSER,20:00.0,176,PER,SEX CRIMES,SUSPICIOUS SUBJ,OPEN,O ,NULL,"[{""age"":""31"",""sex"":""F"",""type"":""I""}]"
1804948,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",12:00.0,550,ORS,WARRANT,PERSON STOP,CLEARED BY ARREST,A ,NULL,[]
1804945,1,RAPE 1 - FORCIBLE,55:00.0,20,PER,RAPE,SEX ABUSE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""18"",""sex"":""F"",""type"":""I""}]"
1804945,2,ENCOURAGE CHILD SEX ABUSE 1 - PORN,55:00.0,170,SOC,SEX CRIMES,SEX ABUSE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804947,4,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",36:00.0,550,ORS,WARRANT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804947,3,ESCAPE 3,36:00.0,262,SOC,ALL OTHER,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804947,2,INTERFERE W/ PEACE OFFICER - DIS CONDUCT,36:00.0,240,SOC,DISORDERLY CONDUCT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804947,1,UNLF POSSESSION OF FIREARM,36:00.0,151,SOC,WEAPON LAW VIOLATION,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804949,2,CRIMINAL TRESPASS 1,03:00.0,261,SOC,ALL OTHER,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1804931,1,POSSESS METHAMPHETAMINE,18:00.0,180,SOC,DRUG LAW VIOLATION,LOCATION WANTED,CLEARED BY ARREST,A ,NULL,[]
1804949,1,THEFT 3 - SHOPLIFT,03:00.0,63,PRP,LARCENY,SHOPLIFT 3050 P,CLEARED BY ARREST,A ,NULL,[]
1804943,1,SEX ABUSE 3 - PHYSICAL MOLEST,21:00.0,173,PER,SEX CRIMES,SEX ABUSE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""06"",""sex"":""M"",""type"":""I""}]"
1804952,1,DRUG EVALUATION REPORT,58:00.0,999,UNA,UNASSIGNED,REQUEST DRE,ARREST BY OTHER AGENCY,T ,NULL,[]
1804946,1,PUBLIC INDECENCY MISD - OTHER,24:00.0,179,PER,SEX CRIMES,PUBLIC INDECENC,CLEARED BY ARREST,A ,NULL,"[{""age"":""25"",""sex"":""F"",""type"":""I""}]"
1804946,2,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",24:00.0,550,ORS,WARRANT,PUBLIC INDECENC,CLEARED BY ARREST,A ,NULL,[]
1804961,1,"WARRANT ARREST (FTA,FTC,FTP,PV,SC)",44:00.0,550,ORS,WARRANT,PATROL CHECK,CLEARED BY ARREST,A ,NULL,[]
1804864,1,DISPUTE,43:00.0,999,UNA,UNASSIGNED,DISORDERLY SUBJ,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,[]
1804957,1,HARASSMENT - SIMPLE ASLT,51:00.0,43,PER,ASSAULT,DISPUTE,SUSPENDED/INACTIVE (NO MORE LEADS),N ,NULL,"[{""age"":""52"",""sex"":""M"",""type"":""I""}]"
